categ_feature0,num_feature1,num_feature2,num_feature3,num_feature4,target
value4,0.6,9.0,5.6,3.6,class_0
value3,9.2,18.8,0.2,5503771.4,class_3
value9,0.3,25.7,2.9,1.9,class_1
value6,9.3,20.9,4.8,5.2,class_1
value9,0.3,9.3,4.8,3.6,class_0
value1,7.9,6.2,3.7,1.6,class_0
value5,2.3,23.0,2.0,2.2,class_1
value7,0.0,21.3,1.2,11.5,class_1
value3,5.4,4.5,3.2,25.9,class_1
value1,0.2,31.1,1.6,2.3,class_1
value1,0.0,11.1,0.8,1.8,class_0
value6,4.0,9.0,2.7,1.4,class_0
value8,11.1,37.3,0.5,138.1,class_3
value1,4.2,48.5,0.2,7.3,class_2
value8,0.4,16.4,1.0,1.2,class_0
value7,10.7,34.1,1.1,5.3,class_2
value3,17.6,7.4,7.9,3.5,class_1
value9,0.6,21.0,3.2,2.1,class_0
value7,6.8,17.9,2.4,4.6,class_1
value1,1.5,28.9,1.9,1.7,class_1
value1,2.8,18.5,4.4,1.6,class_1
value4,0.0,47.1,0.0,1.7,class_2
value6,4.3,50.6,4.0,4.0,class_2
value6,2.4,37.6,5.3,3.7,class_2
value4,0.1,18.6,0.1,2.2,class_0
value7,17.1,52.8,0.2,136.9,class_3
value8,16.5,8.4,3.8,5.5,class_1
value9,0.6,18.7,0.4,1.6,class_0
value7,4.2,78.4,0.0,23.3,class_3
value1,1.0,46.2,3.0,2.0,class_2
value2,10.8,35.3,1.6,1.3,class_2
value6,0.0,25.3,6.5,1.1,class_1
value9,1.6,9.2,1.1,3.8,class_0
value7,0.0,23.3,5.0,1.1,class_1
value1,3.5,29.7,1.9,2.0,class_1
value6,5.2,3.3,0.4,4.6,class_0
value9,3.6,93.9,1.5,1.9,class_3
value2,7.0,21.6,2.7,5.2,class_1
value6,0.0,24.2,7.5,2.5,class_1
value1,0.2,13.5,0.1,1.3,class_0
value6,1.0,37.7,4.3,2.1,class_1
value3,4.7,24.8,3.1,1.6,class_1
value6,3.3,11.4,0.9,2.5,class_0
value6,1.1,9.3,8.4,68.9,class_3
value8,2.3,6.8,7.7,1.8,class_0
value1,1.3,9.2,0.8,3.5,class_0
value5,0.3,50.3,1.6,2.4,class_2
value3,2.9,49.6,0.8,9.9,class_2
value5,0.2,17.5,1.5,4.0,class_0
value1,6.3,57.7,2.6,3.6,class_2
value2,1.7,54.4,2.3,1.9,class_2
value2,0.7,16.4,2.3,2.8,class_0
value6,2.7,14.0,5.1,1.1,class_0
value8,10.5,26.6,3.7,2.5,class_1
value9,2.0,22.0,0.2,806.1,class_3
value7,4.2,39.8,2.7,7.8,class_2
value4,0.5,21.2,0.0,3.6,class_0
value2,0.4,13.7,5.1,2.3,class_0
value3,5.6,51.8,3.0,5.1,class_2
value6,4.5,37.1,1.3,2.1,class_2
value1,14.6,14.4,1.5,21.9,class_2
value6,1.1,3.9,1.6,2.4,class_0
value7,0.4,27.8,0.5,1.7,class_1
value6,2.8,15.8,4.0,1.5,class_0
value1,0.2,6.2,5.2,1.9,class_0
value4,2.4,37.3,2.7,4.5,class_2
value4,9.2,30.6,1.9,1.9,class_1
value8,0.6,14.1,7.2,3.6,class_0
value4,4.4,42.4,0.1,1.5,class_2
value5,0.2,17.1,0.1,6.0,class_0
value3,1.1,62.4,6.8,8.8,class_3
value5,2.4,86.1,0.1,1.3,class_3
value4,0.1,47.9,2.1,6.1,class_2
value9,3.4,19.9,1.3,2.0,class_0
value3,1.0,3.7,0.7,4.8,class_0
value3,5.0,20.0,1.3,114.4,class_3
value4,0.9,19.5,0.2,1.1,class_0
value2,49.8,12.7,2.9,12.3,class_3
value5,3.4,68.0,1.9,1.6,class_3
value6,2.0,13.9,0.1,1.7,class_0
value7,4.2,11.6,3.5,2.4,class_0
value1,2.1,17.9,1.7,39.8,class_2
value3,0.1,9.0,4.6,2.6,class_0
value3,7.6,23.0,4.3,1.4,class_1
value9,9.0,31.6,2.3,28.4,class_2
value8,5.2,28.3,0.9,464.2,class_3
value4,2.1,6.7,0.0,3.0,class_0
value9,3.6,46.6,7.1,2.5,class_2
value6,5.2,12.3,4.8,759.8,class_3
value9,7.2,11.3,1.6,2.7,class_0
value8,3.8,19.7,0.3,1.1,class_0
value8,0.4,27.3,0.5,2.9,class_1
value5,0.4,32.5,2.7,2.5,class_1
value7,8.9,25.4,0.4,1.5,class_1
value7,0.4,11.2,8.9,2.1,class_0
value8,3.2,33.7,5.8,2.5,class_1
value9,1.3,82.7,2.3,5.4,class_3
value4,0.1,8.5,0.2,3.4,class_0
value5,18.2,12.0,1.0,1.6,class_1
value3,0.3,51.7,2.1,2.3,class_2
value9,0.1,41.5,1.8,6.3,class_2
value9,0.8,77.2,0.1,65540.4,class_3
value8,1.5,22.7,2.2,37.9,class_2
value2,0.0,29.3,4.4,1.6,class_1
value2,0.1,19.5,3.0,13.1,class_1
value6,0.1,19.8,1.8,5.5,class_0
value5,2.1,13.1,7.0,1.3,class_0
value9,7.2,1.6,2.9,1.9,class_0
value7,1.5,28.1,5.5,2.2,class_1
value9,0.1,47.8,2.6,3.0,class_2
value8,0.0,43.3,0.3,2.3,class_2
value7,1.1,43.4,2.1,3.9,class_2
value6,7.1,46.8,2.6,89.2,class_3
value2,6.6,34.5,2.2,2.7,class_2
value2,0.5,17.4,1.4,1.9,class_0
value5,6.7,24.6,4.4,1.2,class_1
value6,0.8,43.6,8.6,3.2,class_2
value9,9.6,38.6,6.0,2.9,class_2
value4,0.0,28.7,8.8,1.4,class_1
value3,0.1,36.6,2.1,4.0,class_1
value5,0.0,12.6,1.2,1.5,class_0
value6,1.7,41.7,0.5,1.1,class_1
value7,21.9,14.0,5.9,24.1,class_2
value3,0.0,19.9,5.2,2.7,class_1
value8,0.2,52.7,8.6,2.3,class_2
value6,0.4,15.6,0.2,1.3,class_0
value4,2.4,16.1,0.0,1.4,class_0
value7,4.4,36.1,3.7,2.0,class_2
value9,0.6,34.6,1.0,1.7,class_1
value5,0.0,61.9,1.0,2.8,class_2
value7,1.7,25.2,7.3,1.6,class_1
value5,0.4,36.7,3.4,560.3,class_3
value4,0.2,135.2,6.4,3.5,class_3
value1,0.4,29.0,0.9,2.4,class_1
value4,2.4,9.4,5.7,1.4,class_0
value1,2.3,30.2,0.1,435.0,class_3
value8,6.8,21.1,0.3,1.5,class_1
value8,0.1,46.4,2.6,3.1,class_2
value2,0.2,39.1,6.5,1.9,class_2
value2,4.3,36.4,2.8,4.9,class_2
value9,0.1,7.8,4.9,15.8,class_1
value4,1.2,17.6,0.2,4.5,class_0
value3,5.4,17.1,8.2,60.1,class_3
value8,4.6,32.5,0.9,4.0,class_1
value8,0.1,30.1,3.9,29.0,class_2
value4,0.1,92.6,3.0,19808.7,class_3
value1,3.1,34.0,8.8,1.9,class_2
value7,0.0,23.3,0.5,2.4,class_0
value2,1.2,24.1,1.1,1.3,class_1
value6,0.0,16.0,0.0,45.1,class_2
value1,0.5,22.1,0.2,2.2,class_0
value9,0.1,25.8,6.8,1.1,class_1
value6,0.1,11.5,2.2,1.2,class_0
value4,8.4,36.5,7.3,1.1,class_2
value5,14.6,48.6,2.0,5.1,class_2
value2,13.0,6.2,1.6,1.1,class_0
value3,17.0,45.7,4.8,24.0,class_3
value2,1.8,39.4,5.1,1.8,class_2
value4,9.2,83.2,0.9,2.7,class_3
value1,7.9,19.5,6.5,8.1,class_1
value7,0.6,8.5,1.5,2.3,class_0
value6,0.0,30.4,3.3,3.9,class_1
value4,0.0,5.8,4.9,19.0,class_1
value5,1.6,18.3,7.0,5.2,class_1
value1,1.8,91.0,2.3,1.6,class_3
value9,0.0,32.9,4.1,100.8,class_3
value1,5.0,12.0,1.6,3.0,class_0
value4,5.6,37.2,7.1,1.3,class_2
value6,6.0,25.5,0.0,4.5,class_1
value5,3.3,20.6,5.8,2.7,class_1
value3,1.4,16.1,0.5,24.2,class_1
value3,0.9,16.7,3.3,2.7,class_0
value9,5.9,22.6,6.1,1.6,class_1
value5,4.4,13.4,4.9,10.0,class_1
value9,2.4,20.3,5.4,2.0,class_1
value1,0.0,27.1,2.1,11.2,class_1
value8,0.0,13.4,2.3,4.9,class_0
value8,11.8,41.2,1.8,2.2,class_2
value3,15.8,37.8,0.9,2.0,class_2
value1,1.2,8.1,0.0,1.6,class_0
value4,0.8,25.3,3.7,3.7,class_1
value7,0.1,33.5,0.1,7.8,class_1
value9,1.5,20.9,0.1,1.7,class_0
value3,1.9,28.2,2.7,5.4,class_1
value9,4.5,13.7,1.3,8.9,class_1
value4,2.3,17.3,0.4,5.5,class_0
value2,0.3,14.9,3.3,2.8,class_0
value5,0.5,43.3,0.0,2.7,class_2
value9,0.2,9.3,1.6,1.7,class_0
value3,5.5,41.0,1.1,1.9,class_2
value7,0.4,50.3,8.9,61.1,class_3
value6,0.6,16.5,0.3,79.8,class_3
value7,5.4,59.0,4.0,1.9,class_2
value6,0.2,19.5,2.3,1.3,class_0
value7,1.0,23.1,0.4,3.2,class_0
value5,10.6,21.1,1.5,2.1,class_1
value7,24.9,71.8,4.4,160.3,class_3
value3,1.0,62.9,1.8,4.2,class_2
value1,1.5,29.7,0.0,5.2,class_1
value2,3.9,11.6,1.8,1.1,class_0
value4,0.8,28.5,4.6,1.1,class_1
value3,3.3,17.4,6.8,1.7,class_1
value9,0.5,39.5,3.6,2.9,class_2
value2,1.6,36.7,0.0,1.9,class_1
value2,0.2,10.4,1.9,8.6,class_0
value4,3.0,42.9,3.4,2.4,class_2
value7,5.5,38.7,7.4,1.8,class_2
value4,6.5,35.5,0.0,3.1,class_2
value7,3.8,48.8,1.9,1.3,class_2
value1,0.2,25.9,0.2,1.4,class_0
value5,3.5,25.3,0.1,21.3,class_2
value1,1.8,9.7,2.2,2.2,class_0
value8,0.1,20.8,2.5,22.8,class_2
value8,3.5,22.9,7.7,1.0,class_1
value4,1.3,26.5,0.2,1.6,class_1
value1,12.1,30.2,2.5,1.8,class_2
value2,0.9,7.5,0.8,4.6,class_0
value2,0.2,29.3,0.0,2.6,class_1
value9,3.1,33.8,1.5,6.9,class_2
value7,1.2,108.8,3.8,1.7,class_3
value5,16.6,9.4,2.7,2.5,class_1
value2,14.4,23.9,6.6,1.7,class_2
value4,17.5,19.0,0.0,3.3,class_1
value5,15.9,20.9,2.7,3.8,class_1
value7,13.6,42.4,2.4,1.6,class_2
value4,2.9,34.8,0.9,1.5,class_1
value2,0.1,63.6,2.8,6.2,class_2
value7,3.9,57.2,0.7,2.9,class_2
value4,5.5,15.7,0.6,4.6,class_1
value7,4.0,12.5,7.3,24.2,class_2
value8,0.0,29.8,4.4,4.4,class_1
value7,8.7,31.9,0.1,4.4,class_1
value1,0.3,64.5,0.2,3.4,class_2
value1,0.3,7.6,4.2,1.5,class_0
value4,1.5,22.9,0.3,8.7,class_1
value2,6.7,21.6,0.1,1.3,class_1
value9,11.8,23.8,0.6,2.5,class_1
value9,3.9,23.8,2.3,1.4,class_1
value6,7.3,6.5,6.1,3.1,class_0
value2,3.3,25.7,8.7,150.0,class_3
value3,0.9,42.4,1.6,1.3,class_2
value3,3.5,49.5,7.5,2.6,class_2
value8,1.6,25.2,1.6,48.6,class_3
value2,1.6,36.5,3.4,1.6,class_1
value6,40.4,17.8,6.4,55.5,class_3
value9,0.0,34.2,0.3,2.6,class_1
value8,1.1,4.3,8.4,3.3,class_0
value8,0.0,11.5,1.9,2.4,class_0
value5,0.0,25.6,0.1,1.3,class_1
value7,0.4,8.2,0.0,2.0,class_0
value2,0.1,0.1,0.3,3.9,class_0
value9,16.7,45.3,2.4,4645866.4,class_3
value4,1.9,18.2,8.2,2.5,class_1
value7,2.7,23.3,0.8,1.2,class_1
value1,0.3,18.6,0.0,4.5,class_0
value9,0.1,34.8,7.5,1264.2,class_3
value9,0.8,17.8,8.4,332.6,class_3
value7,8.4,53.6,2.5,12.6,class_3
value2,1.2,7.3,7.3,1.4,class_0
value5,0.5,30.0,3.4,6.4,class_1
value7,5.1,43.3,0.4,5.5,class_2
value2,0.7,36.8,0.1,1.3,class_1
value4,7.2,53.7,5.7,2.4,class_2
value4,0.7,45.7,6.5,4.8,class_2
value9,0.3,55.8,3.5,1.5,class_2
value5,0.1,33.6,2.9,7.7,class_1
value1,7.0,19.7,1.8,2.9,class_1
value9,1.7,12.7,0.2,7.3,class_0
value6,8.3,17.2,7.6,1.6,class_1
value1,1.1,15.5,2.4,3.2,class_0
value8,7.2,14.0,8.0,3.9,class_1
value4,0.0,42.3,0.8,1.1,class_1
value5,2.9,18.7,0.8,4.5,class_1
value6,1.2,30.8,3.3,1.6,class_1
value2,4.8,42.8,0.0,6.7,class_2
value4,1.1,6.8,2.9,11.2,class_0
value7,1.2,9.5,0.5,105.2,class_3
value4,0.7,26.4,2.0,10.8,class_1
value4,3.5,55.1,2.1,2.5,class_2
value5,1.0,56.3,0.1,8.5,class_2
value7,1.7,8.4,0.9,11.0,class_0
value3,1.3,31.5,0.1,11.8,class_2
value7,7.1,27.2,5.2,9.2,class_2
value2,0.1,38.6,2.6,5.0,class_2
value3,5.2,38.6,8.7,2.2,class_2
value5,0.1,14.4,0.3,4.5,class_0
value5,3.6,23.7,1.4,2.5,class_1
value5,0.7,19.8,0.9,6.3,class_1
value1,4.1,26.8,0.6,1.4,class_1
value8,1.7,21.2,8.2,2.5,class_1
value2,1.9,21.0,2.3,3.3,class_1
value4,3.2,35.1,1.3,3.5,class_1
value9,0.0,1.1,0.3,6.9,class_0
value6,26.8,18.5,5.5,2.0,class_2
value5,9.7,15.9,4.9,20.9,class_2
value8,0.0,18.8,6.3,1.3,class_0
value8,2.5,26.8,1.6,5.8,class_1
value2,32.9,1.1,5.1,4.2,class_1
value5,0.8,44.8,0.3,3.6,class_2
value8,1.0,24.5,4.3,14.5,class_2
value3,2.0,30.7,3.0,3.4,class_1
value2,2.3,30.2,0.1,1.1,class_1
value5,10.3,47.5,4.8,1.4,class_2
value6,0.0,43.4,0.0,4.7,class_2
value5,0.1,40.6,0.6,1.7,class_1
value7,1.4,41.5,1.9,14.5,class_2
value4,1.8,3.6,7.7,1.7,class_0
value1,0.8,35.3,0.3,2.3,class_1
value7,4.9,24.5,0.1,3.6,class_1
value8,5.7,3.5,1.0,1.6,class_0
value1,4.4,26.1,2.9,2.0,class_1
value9,3.5,20.7,2.9,7.4,class_1
value2,2.5,47.4,7.3,74.6,class_3
value6,0.2,33.5,0.1,1.1,class_1
value3,0.8,27.2,3.4,1.4,class_1
value3,6.1,0.0,4.4,11.3,class_0
value2,2.8,40.1,0.9,2499.9,class_3
value4,0.0,43.7,3.5,2.3,class_2
value3,0.3,33.8,0.3,1.2,class_1
value1,1.5,36.1,0.1,1.9,class_1
value1,2.2,2.7,4.9,3.4,class_0
value3,0.0,31.8,5.2,9.5,class_2
value2,0.0,24.4,3.1,1.3,class_1
value7,0.3,24.6,0.0,3473.5,class_3
value6,4.0,15.4,0.2,3.1,class_0
value5,0.0,33.9,0.2,1.6,class_1
value1,8.3,10.5,2.3,4.0,class_0
value4,2.8,24.1,8.5,3.5,class_1
value7,4.9,51.7,6.1,1.3,class_2
value8,0.1,8.9,4.7,9.8,class_0
value8,3.5,14.7,4.4,2.8,class_0
value2,22.7,13.0,1.7,2.3,class_1
value6,0.3,26.7,4.3,10.5,class_1
value3,0.2,39.5,3.6,1.5,class_2
value5,0.2,18.1,2.4,1.7,class_0
value3,4.6,47.4,4.5,215.1,class_3
value2,12.5,32.0,2.4,3.0,class_2
value8,10.6,33.0,3.4,1.6,class_2
value5,0.2,7.8,6.1,52.4,class_2
value6,0.2,25.4,5.1,1.9,class_1
value8,3.1,54.8,4.9,1.5,class_2
value8,0.0,20.7,0.1,1.6,class_0
value6,23.0,29.0,7.6,1.2,class_2
value9,0.0,17.7,4.7,2.6,class_0
value2,0.0,40.2,0.2,148.0,class_3
value7,27.4,14.4,0.7,4.7,class_2
value4,0.2,15.4,0.4,1.2,class_0
value7,0.1,61.6,0.5,2.2,class_2
value3,0.0,22.6,4.9,89.0,class_3
value4,1.5,18.6,0.0,70.7,class_3
value2,2.5,32.7,0.4,2.9,class_1
value8,20.9,49.6,0.5,1.3,class_2
value8,12.4,44.1,0.3,27.4,class_3
value2,6.8,48.9,0.3,4.6,class_2
value4,0.4,32.3,6.8,14.1,class_2
value6,0.3,24.5,2.3,1.2,class_1
value2,1.9,0.4,8.3,90.6,class_3
value2,2.0,16.6,1.9,3.3,class_0
value6,0.4,18.4,6.2,1.3,class_0
value5,16.2,9.0,4.4,1.8,class_1
value2,5.5,13.0,2.8,2.6,class_0
value9,0.5,15.6,8.6,1.8,class_0
value9,3.7,46.5,1.9,1.5,class_2
value9,3.0,13.2,0.7,1.2,class_0
value3,3.6,33.2,8.7,1.4,class_2
value7,0.0,9.3,0.0,2.9,class_0
value3,6.6,15.7,0.0,1.1,class_0
value2,0.0,3.1,0.1,1252.1,class_3
value7,0.1,3.2,0.6,1.8,class_0
value7,0.0,12.6,7.9,1.7,class_0
value2,0.4,27.9,0.0,5.3,class_1
value3,0.0,8.1,1.0,1.7,class_0
value4,11.3,47.7,0.6,63.2,class_3
value8,1.2,15.4,0.0,2.9,class_0
value9,0.3,2.0,2.5,1.7,class_0
value4,3.2,34.6,4.5,10.5,class_2
value8,24.4,9.4,1.5,44.6,class_3
value3,1.8,28.6,1.1,2.8,class_1
value8,1.8,43.8,3.1,1.4,class_2
value7,3.5,32.1,0.1,4.3,class_1
value6,0.6,70.6,1.2,4.8,class_3
value6,4.9,40.0,3.4,1.2,class_2
value2,6.5,28.6,8.4,1.9,class_2
value6,0.2,45.9,0.0,316.4,class_3
value7,5.5,29.2,7.6,4.9,class_2
value2,6.5,29.7,4.5,16.6,class_2
value2,8.5,12.1,0.2,1.3,class_0
value4,8.9,30.2,6.2,2.7,class_2
value5,0.2,21.4,0.0,1.6,class_0
value3,1.4,38.8,3.1,2.1,class_2
value6,0.6,36.4,7.3,2.2,class_1
value6,15.6,18.5,7.4,6.0,class_2
value4,10.1,24.9,1.3,1.5,class_1
value3,40.7,11.6,0.0,5.1,class_2
value2,1.9,25.8,0.3,154.5,class_3
value7,0.5,45.2,7.4,2.6,class_2
value6,1.5,15.2,2.6,7.9,class_1
value7,1.7,20.5,1.8,1.7,class_0
value9,25.3,7.7,5.5,4.8,class_1
value3,0.0,19.7,8.4,1.5,class_1
value2,5.2,20.5,0.3,2.0,class_1
value6,3.2,48.2,0.7,1.5,class_2
value5,1.8,24.8,5.1,5.5,class_1
value4,0.3,19.2,1.6,4.7,class_0
value4,1.2,16.9,0.0,4.3,class_0
value2,4.5,21.8,1.8,5.4,class_1
value8,2.0,22.4,0.0,6.8,class_1
value7,0.0,21.1,8.0,3.5,class_1
value4,1.5,32.2,1.6,1.7,class_1
value1,5.7,16.6,1.6,60.9,class_3
value4,2.9,27.9,0.8,6.6,class_1
value4,0.0,22.8,2.5,2.7,class_1
value8,6.8,19.1,0.0,450.2,class_3
value1,3.9,51.0,8.3,2.4,class_2
value3,0.1,17.6,4.0,5.2,class_1
value2,5.7,12.9,1.0,2.7,class_0
value7,1.3,19.3,6.0,7.7,class_1
value2,3.8,11.3,0.9,6.3,class_0
value9,1.4,20.1,6.9,2.3,class_1
value6,1.8,19.9,0.0,30.0,class_2
value2,10.1,22.4,0.0,8.2,class_1
value5,6.5,30.4,0.9,2.7,class_1
value6,5.4,19.6,0.7,2.2,class_1
value4,0.0,42.3,7.5,108.2,class_3
value2,0.3,43.2,0.1,2.3,class_2
value5,5.3,4.6,5.4,1.5,class_0
value2,1.5,27.1,0.2,1.3,class_1
value4,0.5,20.3,1.6,1.9,class_0
value5,0.6,23.5,6.3,1.6,class_1
value7,3.1,7.3,0.8,3.1,class_0
value3,0.1,63.9,6.2,4.7,class_2
value2,0.3,0.1,0.0,41.5,class_1
value2,12.6,19.3,1.4,4.8,class_1
value2,0.2,15.3,0.5,2.9,class_0
value6,17.9,43.9,0.7,3.4,class_2
value1,0.0,16.9,6.3,5.6,class_1
value5,0.2,10.1,2.2,8.7,class_0
value7,4.9,7.6,0.0,153.8,class_3
value7,1.9,74.2,0.8,2.5,class_3
value6,9.9,54.7,2.2,4.3,class_2
value8,6.3,23.8,4.4,1.9,class_1
value5,0.6,16.5,2.3,12.2,class_1
value4,11.7,21.1,1.4,1.6,class_1
value3,5.5,24.8,6.5,6.2,class_1
value8,0.3,12.7,1.2,3.4,class_0
value4,3.9,34.7,7.8,4.3,class_2
value4,0.1,16.3,0.3,1.8,class_0
value4,0.8,38.8,4.8,2.6,class_2
value7,6.7,6.5,1.1,1.7,class_0
value4,1.5,80.9,0.7,312.5,class_3
value9,7.9,9.9,1.7,2.4,class_0
value3,0.5,1.4,0.3,12.0,class_0
value4,1.7,48.6,0.2,1.3,class_2
value6,10.0,9.4,2.5,1.4,class_0
value2,14.5,19.9,0.8,1.5,class_1
value2,0.1,20.0,1.9,1.3,class_0
value7,0.2,4.8,0.2,2.4,class_0
value7,17.7,12.1,0.4,5.2,class_1
value4,0.4,20.3,2.0,2.7,class_0
value2,4.3,24.2,2.2,1.4,class_1
value2,2.1,24.3,0.5,1.8,class_1
value7,0.9,32.0,3.3,1.4,class_1
value6,2.9,20.3,7.0,1.6,class_1
value4,0.4,28.5,0.6,3.3,class_1
value8,10.2,8.1,1.7,2.1,class_0
value1,1.0,39.7,0.0,3.0,class_1
value5,0.5,6.7,0.9,1.4,class_0
value7,2.0,16.7,3.3,17.8,class_1
value2,0.5,23.9,8.4,1.3,class_1
value8,11.1,36.8,0.2,1.2,class_2
value9,0.5,10.5,3.2,89.0,class_3
value4,10.3,19.8,1.7,2.3,class_1
value8,1.2,13.8,6.3,30.1,class_2
value7,6.5,15.4,0.2,2.3,class_0
value9,0.0,19.2,4.3,2.2,class_0
value9,0.5,13.6,8.5,3.7,class_1
value7,0.1,20.6,4.3,1.5,class_1
value3,0.8,66.1,2.6,7.0,class_3
value3,0.3,19.6,7.7,1.8,class_1
value1,0.8,12.6,0.2,2.7,class_0
value5,21.9,19.2,2.0,3.1,class_2
value7,0.2,36.6,0.3,3.6,class_1
value8,7.2,1.7,3.7,47.2,class_2
value2,0.0,12.9,0.8,4.4,class_0
value3,1.5,19.5,4.5,2.9,class_1
value7,0.9,12.4,0.0,5.3,class_0
value1,6.9,26.7,3.4,3.3,class_1
value7,0.0,56.7,3.0,7.6,class_2
value9,16.4,20.9,6.4,1.3,class_1
value9,0.0,11.4,6.5,124.4,class_3
